"","MatchNo","HomeTeam","AwayTeam","HG","AG","TG","GS.by.H","GC.by.H","GS.by.A","GC.by.A","ExpHG","ExpAG"
"1",271,"Brighton","Arsenal",1.51851851851852,1.24444444444444,1.38148148148148,1.53846153846154,1.07692307692308,1.66666666666667,0.866666666666667,0.878048780487805,1.44230769230769
"2",272,"Crystal Palace","Arsenal",1.51851851851852,1.24444444444444,1.38148148148148,1,1.28571428571429,1.66666666666667,0.866666666666667,0.570731707317073,1.7219387755102
"3",273,"Man City","Arsenal",1.51851851851852,1.24444444444444,1.38148148148148,2.42857142857143,0.642857142857143,1.66666666666667,0.866666666666667,1.38606271777003,0.860969387755102
"4",274,"West Ham","Arsenal",1.51851851851852,1.24444444444444,1.38148148148148,1.21428571428571,1.92857142857143,1.66666666666667,0.866666666666667,0.693031358885017,2.58290816326531
"5",275,"Burnley","Aston Villa",1.51851851851852,1.24444444444444,1.38148148148148,0.923076923076923,1.46153846153846,1.38461538461538,1.30769230769231,0.794919901861741,1.62616229923922
"6",276,"Fulham","Aston Villa",1.51851851851852,1.24444444444444,1.38148148148148,1.69230769230769,1.23076923076923,1.38461538461538,1.30769230769231,1.45735315341319,1.36939983093829
"7",277,"Man City","Aston Villa",1.51851851851852,1.24444444444444,1.38148148148148,2.42857142857143,0.642857142857143,1.38461538461538,1.30769230769231,2.09139640846958,0.715266875981162
"8",278,"Man United","Aston Villa",1.51851851851852,1.24444444444444,1.38148148148148,1.92307692307692,1.15384615384615,1.38461538461538,1.30769230769231,1.65608312887863,1.28381234150465
"9",279,"Nott'm Forest","Aston Villa",1.51851851851852,1.24444444444444,1.38148148148148,0.928571428571429,1.35714285714286,1.38461538461538,1.30769230769231,0.799651567944251,1.51000784929356
"10",280,"Wolves","Aston Villa",1.51851851851852,1.24444444444444,1.38148148148148,0.928571428571429,2.14285714285714,1.38461538461538,1.30769230769231,0.799651567944251,2.38422291993721
"11",281,"Arsenal","Bournemouth",1.51851851851852,1.24444444444444,1.38148148148148,2.38461538461538,0.615384615384615,1.64285714285714,2.21428571428571,3.47721790404717,0.812401883830455
"12",282,"Burnley","Bournemouth",1.51851851851852,1.24444444444444,1.38148148148148,0.923076923076923,1.46153846153846,1.64285714285714,2.21428571428571,1.34601983382471,1.92945447409733
"13",283,"Fulham","Bournemouth",1.51851851851852,1.24444444444444,1.38148148148148,1.69230769230769,1.23076923076923,1.64285714285714,2.21428571428571,2.46770302867864,1.62480376766091
"14",284,"Newcastle","Bournemouth",1.51851851851852,1.24444444444444,1.38148148148148,1.84615384615385,1.53846153846154,1.64285714285714,2.21428571428571,2.69203966764942,2.03100470957614
"15",285,"Nott'm Forest","Bournemouth",1.51851851851852,1.24444444444444,1.38148148148148,0.928571428571429,1.35714285714286,1.64285714285714,2.21428571428571,1.3540318566451,1.79163629737609
"16",286,"Bournemouth","Brentford",1.51851851851852,1.24444444444444,1.38148148148148,1.53846153846154,1.07692307692308,1.23076923076923,1.69230769230769,1.71453312166258,1.06508875739645
"17",287,"Burnley","Brentford",1.51851851851852,1.24444444444444,1.38148148148148,0.923076923076923,1.46153846153846,1.23076923076923,1.69230769230769,1.02871987299755,1.44547759932375
"18",288,"Leeds","Brentford",1.51851851851852,1.24444444444444,1.38148148148148,1.69230769230769,1.38461538461538,1.23076923076923,1.69230769230769,1.88598643382884,1.36939983093829
"19",289,"Liverpool","Brentford",1.51851851851852,1.24444444444444,1.38148148148148,1.61538461538462,1.07692307692308,1.23076923076923,1.69230769230769,1.80025977774571,1.06508875739645
"20",290,"Man City","Brentford",1.51851851851852,1.24444444444444,1.38148148148148,2.42857142857143,0.642857142857143,1.23076923076923,1.69230769230769,2.70651299919593,0.635792778649922
"21",291,"Man United","Brentford",1.51851851851852,1.24444444444444,1.38148148148148,1.92307692307692,1.15384615384615,1.23076923076923,1.69230769230769,2.14316640207822,1.14116652578191
"22",292,"Burnley","Brighton",1.51851851851852,1.24444444444444,1.38148148148148,0.923076923076923,1.46153846153846,1.14285714285714,1.42857142857143,0.868399892790137,1.34222919937206
"23",293,"Leeds","Brighton",1.51851851851852,1.24444444444444,1.38148148148148,1.69230769230769,1.38461538461538,1.14285714285714,1.42857142857143,1.59206647011525,1.27158555729984
"24",294,"Newcastle","Brighton",1.51851851851852,1.24444444444444,1.38148148148148,1.84615384615385,1.53846153846154,1.14285714285714,1.42857142857143,1.73679978558027,1.41287284144427
"25",295,"Sunderland","Brighton",1.51851851851852,1.24444444444444,1.38148148148148,1.57142857142857,0.928571428571429,1.14285714285714,1.42857142857143,1.47834743653559,0.852769679300291
"26",296,"Tottenham","Brighton",1.51851851851852,1.24444444444444,1.38148148148148,1.21428571428571,1.57142857142857,1.14285714285714,1.42857142857143,1.1423593827775,1.44314868804665
"27",297,"Arsenal","Burnley",1.51851851851852,1.24444444444444,1.38148148148148,2.38461538461538,0.615384615384615,1.21428571428571,2.35714285714286,3.70155454301796,0.600470957613815
"28",298,"Everton","Burnley",1.51851851851852,1.24444444444444,1.38148148148148,1.23076923076923,1.38461538461538,1.21428571428571,2.35714285714286,1.9104797641383,1.35105965463108
"29",299,"Fulham","Burnley",1.51851851851852,1.24444444444444,1.38148148148148,1.69230769230769,1.23076923076923,1.21428571428571,2.35714285714286,2.62690967569016,1.20094191522763
"30",300,"Leeds","Burnley",1.51851851851852,1.24444444444444,1.38148148148148,1.69230769230769,1.38461538461538,1.21428571428571,2.35714285714286,2.62690967569016,1.35105965463108
